id,name,pop,german hip hop,dance pop,pop urbaine,french hip hop,latin,reggaeton,trap latino,rap,hip hop
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,1,0,1,0,0,0,0,0,0,0
0eHQ9o50hj6ZDNBt6Ys1sD,Yandel,0,0,0,0,0,1,1,0,0,0
4LXBc13z5EWsc5N32bLxfH,Nekfeu,0,0,0,1,1,0,0,0,0,0
0Dvx6p8JDyzeOPGmaCIH1L,RAF Camora,0,1,0,0,0,0,0,0,0,0
3ZuBEj9ppJe8GSdKaMTfMN,Nimo,0,1,0,0,0,0,0,0,0,0
15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,0,0,0,0,0,0,0,0,0,0
1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,0,0,0,0,0,0,0,1,0,0
6E94QKXZv8BbO6QQJxcxLI,Daviles de Novelda,0,0,0,0,0,0,0,0,0,0
7tYKF4w9nC0nq9CsPZTHyP,SZA,1,0,0,0,0,0,0,0,1,0
1UjxAZqzphB1tsMb1aWBj0,Omega,0,0,0,0,0,0,0,0,0,0
6ydoSd3N2mwgwBHtF6K7eX,Calum Scott,1,0,0,0,0,0,0,0,0,0
4e0nWw2r4BoQSKPQ2zpU13,Ray Dalton,0,0,0,0,0,0,0,0,0,0
1XKjtpH5P81gpOXDB91IEB,Miami Yacine,0,1,0,0,0,0,0,0,0,0
4bL2B6hmLlMWnUEZnorEtG,Felix Jaehn,0,0,1,0,0,0,0,0,0,0
06HL4z0CvFAxyc27GXpf02,Taylor Swift,1,0,0,0,0,0,0,0,0,0
1U1el3k54VvEUzo3ybLPlM,Kali Uchis,1,0,0,0,0,0,0,0,0,0
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,0,0,0,0,0,0,0,0,1,1
6jGMq4yGs7aQzuGsMgVgZR,Lil Tjay,0,0,0,0,0,0,0,0,0,0
4hz8tIajF2INpgM0qzPJz2,Rainbow Kitten Surprise,0,0,0,0,0,0,0,0,0,0
2Diqn1jFkehRd9MVDGKGdq,Eddin,0,1,0,0,0,0,0,0,0,0
4P3RXClUWZnQAO6BfrEQXb,ART,0,1,0,0,0,0,0,0,0,0
4GNC7GD6oZMSxPGyXy4MNB,Lewis Capaldi,1,0,0,0,0,0,0,0,0,0
64KEffDW9EtZ1y2vBYgq8T,Marshmello,1,0,1,0,0,0,0,0,0,0
5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,1,0,1,0,0,0,0,0,0,0
7bXgB6jMjp9ATFy66eO08Z,Chris Brown,1,0,1,0,0,0,0,0,0,0
0rvjqX7ttXeg3mTy8Xscbt,Journey,0,0,0,0,0,0,0,0,0,0
329e4yvIujISKGKz1BZZbO,Farruko,0,0,0,0,0,1,1,1,0,0
0Q8NcsJwoCbZOHHW63su5S,Mora,0,0,0,0,0,0,1,1,0,0
7Gi6gjaWy3DxyilpF1a8Is,Junior H,0,0,0,0,0,0,0,0,0,0
6Ip8FS7vWT1uKkJSweANQK,Dave,0,0,0,0,0,0,0,0,0,0
1tZ99AnqyjgrmPwLfGU5eo,Fito y Fitipaldis,0,0,0,0,0,0,0,0,0,0
1r4hJ1h58CWwUQe3MxPuau,Maluma,0,0,0,0,0,1,1,1,0,0
4Jd9XCHzRXTB7ZPPVzJoUm,Milano,0,1,0,0,0,0,0,0,0,0
5lwmRuXgjX8xIwlnauTZIP,Romeo Santos,0,0,0,0,0,1,0,0,0,0
2rEVnwCPBeGkWMv425KoG1,AYLIVA,0,1,0,0,0,0,0,0,0,0
1Yj5Xey7kTwvZla8sqdsdE,Cris Mj,0,0,0,0,0,0,0,1,0,0
0ys2OFYzWYB5hRDLCsBqxt,Fuerza Regida,0,0,0,0,0,0,0,0,0,0
5gqmbbfjcikQBzPB5Hv13I,Gazo,0,0,0,1,1,0,0,0,0,0
3LvwPiJQJ0da0GurKMToV0,Baby Gang,0,0,0,0,0,0,0,0,0,0
74KM79TiuVKeVCqs8QtB0B,Sabrina Carpenter,1,0,1,0,0,0,0,0,0,0
1vCWHaC5f2uS3yhpwWbIA6,Avicii,1,0,1,0,0,0,0,0,0,0
45dkTj5sMRSjrmBSBeiHym,Tate McRae,1,0,1,0,0,0,0,0,0,0
4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,0,0,0,0,0,0,0,0,1,0
6h1s4i4XKIYv4ErDelLDN0,Samra,0,1,0,0,0,0,0,0,0,0
2ubn2zwyYaLdHOCKnTouU2,Ziak,0,0,0,0,0,0,0,0,0,0
3tQzzidoPfVifoURnDfgmD,t-low,0,1,0,0,0,0,0,0,0,0
3QSQFmccmX81fWCUSPTS7y,Dean Lewis,1,0,0,0,0,0,0,0,0,0
5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,1,0,1,0,0,0,0,0,0,0
1dfeR4HaWDbWqFHLkxsg1d,Queen,0,0,0,0,0,0,0,0,0,0
4npEfmQ6YuiwW1GpUmaq3F,Ava Max,1,0,1,0,0,0,0,0,0,0
1McMsnEElThX1knmY4oliG,Olivia Rodrigo,1,0,0,0,0,0,0,0,0,0
4obzFoKoKRHIphyHzJ35G3,Becky G,0,0,1,0,0,1,0,0,0,0
