iso3,date,life_expectancy,fertility
BIH,2007,75.498,1.295
BIH,2008,75.665,1.303
BIH,2009,75.844,1.311
BIH,2010,76.031,1.315
BIH,2011,76.219,1.315
BIH,2012,76.401,1.313
BIH,2013,76.569,1.309
BIH,2014,76.723,1.303
BIH,2015,76.865,1.296
BIH,2016,76.998,1.286
BIH,2017,77.128,1.276
BIH,2018,77.262,1.265
BIH,2019,77.401,1.254
BIH,2020,77.545,1.243
BLR,2000,68.9121951219512,1.317
BLR,2001,68.5073170731707,1.286
BLR,2002,68.0560975609756,1.24
BLR,2003,68.5536585365854,1.232
BLR,2004,68.9560975609756,1.233
BLR,2005,68.8512195121951,1.252
BLR,2006,69.4048780487805,1.335
BLR,2007,70.2073170731707,1.429
BLR,2008,70.4560975609756,1.488
BLR,2009,70.4073170731707,1.509
BLR,2010,70.4048780487805,1.494
BLR,2011,70.5536585365854,1.515
BLR,2012,71.9658536585366,1.62
BLR,2013,72.4707317073171,1.668
BLR,2014,72.9707317073171,1.696
BLR,2015,73.6243902439025,1.724
BLR,2016,73.8268292682927,1.733
BLR,2017,74.1292682926829,1.541
BLR,2018,74.1756097560976,1.448
BLR,2019,74.2268292682927,1.382
BLR,2020,74.2268292682927,1.382
BLZ,2000,68.847,3.601
BLZ,2001,69.04,3.497
BLZ,2002,69.272,3.392
BLZ,2003,69.511,3.286
BLZ,2004,69.749,3.18
BLZ,2005,69.998,3.077
BLZ,2006,70.286,2.98
BLZ,2007,70.636,2.893
BLZ,2008,71.059,2.816
BLZ,2009,71.541,2.749
BLZ,2010,72.057,2.69
BLZ,2011,72.57,2.638
BLZ,2012,73.044,2.588
BLZ,2013,73.452,2.539
BLZ,2014,73.782,2.489
BLZ,2015,74.034,2.439
BLZ,2016,74.219,2.391
BLZ,2017,74.365,2.346
BLZ,2018,74.496,2.307
BLZ,2019,74.623,2.274
BLZ,2020,74.754,2.246
BMU,2000,77.8853658536585,1.74
BMU,2001,77.8853658536585,1.75
BMU,2002,78.0878048780488,1.77
BMU,2003,78.3341463414634,1.8
BMU,2004,78.4853658536585,1.78
BMU,2005,78.6853658536586,1.76
BMU,2006,78.8878048780488,1.76
BMU,2007,78.9341463414634,1.76
BMU,2008,79.2365853658537,1.77
BMU,2009,79.3884390243903,1.76
BMU,2010,79.2885365853658,1.7
BMU,2011,81.1526829268293,1.6
BMU,2012,81.6778048780488,1.6
BMU,2013,80.5724390243902,1.6
BMU,2014,80.7973170731707,1.4
BMU,2015,81.0121951219512,1.4
BMU,2016,81.2270731707317,1.4
BMU,2017,81.4419512195122,1.4
BMU,2018,81.6517073170732,1.3
BMU,2019,81.8665853658537,1.3
BMU,2020,82.0560975609756,1.3
BOL,2000,62.452,4.051
BOL,2001,63.054,3.969
BOL,2002,63.64,3.885
BOL,2003,64.21,3.798
BOL,2004,64.766,3.71
BOL,2005,65.312,3.621
BOL,2006,65.853,3.533
BOL,2007,66.395,3.447
BOL,2008,66.937,3.364
BOL,2009,67.476,3.287
BOL,2010,68.007,3.213
BOL,2011,68.521,3.143
BOL,2012,69.01,3.076
BOL,2013,69.468,3.01
BOL,2014,69.891,2.947
BOL,2015,70.277,2.886
BOL,2016,70.626,2.829
BOL,2017,70.945,2.777
BOL,2018,71.239,2.73
BOL,2019,71.513,2.688
BOL,2020,71.771,2.651
BRA,2000,70.116,2.3
BRA,2001,70.462,2.232
BRA,2002,70.813,2.163
BRA,2003,71.17,2.097
BRA,2004,71.531,2.033
BRA,2005,71.896,1.976
BRA,2006,72.26,1.925
BRA,2007,72.618,1.882
BRA,2008,72.966,1.847
BRA,2009,73.3,1.818
BRA,2010,73.619,1.796
BRA,2011,73.921,1.781
BRA,2012,74.209,1.771
BRA,2013,74.483,1.764
BRA,2014,74.745,1.758
BRA,2015,74.994,1.753
BRA,2016,75.23,1.747
BRA,2017,75.456,1.739
BRA,2018,75.672,1.73
BRA,2019,75.881,1.719
BRA,2020,76.084,1.706
BRB,2000,77.162,1.775
BRB,2001,77.362,1.785
BRB,2002,77.534,1.793
BRB,2003,77.682,1.797
BRB,2004,77.808,1.795
