"name","essround","edition","proddate","cntry","idno","intagea","intgndr","vdcond","resclq","resrelq","resbab","resundq","preintf","prewhp","presd","preppil","preorel","prenrel","predk","prenap","prena","intlnga","intnum"
"ESS11inte02",11,"2.0","19.11.2024","AT",74908,63,1,1,3,2,4,4,2,,,,,,,1,0,"GER",3406
"ESS11inte02",11,"2.0","19.11.2024","AT",74915,76,2,1,2,2,4,4,2,,,,,,,1,0,"GER",2150
"ESS11inte02",11,"2.0","19.11.2024","AT",74928,63,1,1,2,2,5,5,2,,,,,,,1,0,"GER",3406
"ESS11inte02",11,"2.0","19.11.2024","AT",74942,53,1,1,2,2,4,4,2,,,,,,,1,0,"GER",3212
"ESS11inte02",11,"2.0","19.11.2024","AT",74944,56,1,1,1,1,5,5,2,,,,,,,1,0,"GER",2615
"ESS11inte02",11,"2.0","19.11.2024","AT",74949,59,1,1,1,3,4,4,2,,,,,,,1,0,"GER",3039
"ESS11inte02",11,"2.0","19.11.2024","AT",74961,57,1,1,3,3,5,5,2,,,,,,,1,0,"GER",2982
"ESS11inte02",11,"2.0","19.11.2024","AT",75007,40,2,1,2,1,5,5,2,,,,,,,1,0,"GER",3086
"ESS11inte02",11,"2.0","19.11.2024","AT",75009,45,1,2,3,2,4,5,2,,,,,,,1,0,"GER",2171
"ESS11inte02",11,"2.0","19.11.2024","AT",75036,57,2,2,2,2,4,4,2,,,,,,,1,0,"GER",3008
"ESS11inte02",11,"2.0","19.11.2024","AT",75079,48,1,1,2,2,5,4,2,,,,,,,1,0,"GER",2957
"ESS11inte02",11,"2.0","19.11.2024","AT",75091,55,1,1,2,2,4,4,2,,,,,,,1,0,"GER",2410
"ESS11inte02",11,"2.0","19.11.2024","AT",75096,61,1,1,2,2,4,5,2,,,,,,,1,0,"GER",2147
"ESS11inte02",11,"2.0","19.11.2024","AT",75101,53,2,1,2,3,5,5,2,,,,,,,1,0,"GER",2178
"ESS11inte02",11,"2.0","19.11.2024","AT",75123,75,2,1,1,1,5,5,2,,,,,,,1,0,"GER",2770
"ESS11inte02",11,"2.0","19.11.2024","AT",75125,63,2,1,1,1,5,5,2,,,,,,,1,0,"GER",2485
"ESS11inte02",11,"2.0","19.11.2024","AT",75126,63,1,1,2,2,5,5,2,,,,,,,1,0,"GER",3413
"ESS11inte02",11,"2.0","19.11.2024","AT",75144,58,1,1,2,1,5,5,2,,,,,,,1,0,"GER",2136
"ESS11inte02",11,"2.0","19.11.2024","AT",75166,57,2,1,2,2,5,5,2,,,,,,,1,0,"GER",3008
"ESS11inte02",11,"2.0","19.11.2024","AT",75177,53,1,1,1,1,5,5,2,,,,,,,1,0,"GER",3217
